epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,301.685,0.55467,0.36961,0.81089,1,0.99563,0.995,0.93297,0.40214,0.30477,0.84352,0.0002674,0.0002674,0.0002674
76,305.66,0.50975,0.35819,0.80671,0.99841,0.99609,0.995,0.94153,0.37569,0.30055,0.84726,0.0002575,0.0002575,0.0002575
77,309.67,0.51194,0.35524,0.80627,1,0.98702,0.99382,0.91881,0.42975,0.32582,0.85466,0.0002476,0.0002476,0.0002476
78,313.693,0.52661,0.36107,0.81294,0.99972,0.98828,0.99473,0.92028,0.41948,0.31916,0.85591,0.0002377,0.0002377,0.0002377
79,317.68,0.53189,0.35878,0.81166,0.99932,0.99609,0.995,0.92225,0.42426,0.30586,0.85113,0.0002278,0.0002278,0.0002278
80,321.667,0.51949,0.35818,0.81004,1,0.99528,0.995,0.94958,0.34021,0.28543,0.84305,0.0002179,0.0002179,0.0002179
81,325.635,0.51551,0.35544,0.80253,0.99854,1,0.995,0.95678,0.34423,0.29596,0.84436,0.000208,0.000208,0.000208
82,329.622,0.47444,0.3385,0.80898,1,0.99464,0.995,0.94132,0.36536,0.29399,0.84708,0.0001981,0.0001981,0.0001981
83,333.593,0.47386,0.33348,0.802,0.99957,0.99609,0.995,0.93969,0.34789,0.28142,0.83928,0.0001882,0.0001882,0.0001882
84,337.626,0.48692,0.34123,0.80584,0.99989,1,0.995,0.94792,0.34314,0.27636,0.8398,0.0001783,0.0001783,0.0001783
85,341.634,0.47178,0.33334,0.80804,0.99981,1,0.995,0.94799,0.3515,0.2867,0.83647,0.0001684,0.0001684,0.0001684
86,345.626,0.50632,0.34846,0.79893,0.99931,0.99609,0.995,0.91884,0.4319,0.30387,0.84624,0.0001585,0.0001585,0.0001585
87,349.642,0.53406,0.35838,0.80543,0.99939,0.99609,0.995,0.93586,0.40174,0.29461,0.84914,0.0001486,0.0001486,0.0001486
88,353.704,0.49398,0.34145,0.80565,0.99942,0.99609,0.995,0.94245,0.36642,0.27897,0.83941,0.0001387,0.0001387,0.0001387
89,357.73,0.47894,0.33333,0.80798,1,0.99137,0.995,0.94444,0.35559,0.27659,0.84414,0.0001288,0.0001288,0.0001288
90,361.812,0.50594,0.34668,0.81396,1,0.98116,0.99488,0.91611,0.43895,0.30349,0.84746,0.0001189,0.0001189,0.0001189
91,366.718,0.48929,0.33822,0.7979,0.9945,0.99219,0.99496,0.91564,0.42891,0.30339,0.8445,0.000109,0.000109,0.000109
92,370.797,0.46245,0.32417,0.79612,1,0.99964,0.995,0.94052,0.34445,0.27771,0.83645,9.91e-05,9.91e-05,9.91e-05
93,374.784,0.49312,0.33255,0.79074,0.99999,1,0.995,0.93919,0.34649,0.27756,0.83709,8.92e-05,8.92e-05,8.92e-05
94,378.87,0.47183,0.33098,0.79513,0.9994,1,0.995,0.94376,0.34349,0.28107,0.83543,7.93e-05,7.93e-05,7.93e-05
95,382.98,0.47142,0.32473,0.78807,0.99941,0.99609,0.995,0.93865,0.3728,0.27716,0.83316,6.94e-05,6.94e-05,6.94e-05
96,387.123,0.46087,0.31933,0.80399,0.99977,0.99609,0.995,0.93151,0.37738,0.27838,0.8375,5.95e-05,5.95e-05,5.95e-05
